1.53251e+08 -5.92658e+07 0 0 0 0 0 0 0 -9.3985e+07 0 0 
-5.92658e+07 3.06502e+08 -5.92658e+07 0 0 0 0 0 0 0 -1.8797e+08 0 
0 -5.92658e+07 1.53251e+08 -9.3985e+07 0 0 0 0 0 0 0 0 
0 0 -9.3985e+07 3.06502e+08 -9.3985e+07 0 0 0 0 0 -1.18532e+08 0 
0 0 0 -9.3985e+07 3.06502e+08 -9.3985e+07 0 0 0 0 0 -1.18532e+08 
0 0 0 0 -9.3985e+07 1.53251e+08 -5.92658e+07 0 0 0 0 0 
0 0 0 0 0 -5.92658e+07 3.06502e+08 -5.92658e+07 0 0 0 -1.8797e+08 
0 0 0 0 0 0 -5.92658e+07 1.53251e+08 -9.3985e+07 0 0 0 
0 0 0 0 0 0 0 -9.3985e+07 3.06502e+08 -9.3985e+07 0 -1.18532e+08 
-9.3985e+07 0 0 0 0 0 0 0 -9.3985e+07 3.06502e+08 -1.18532e+08 0 
0 -1.8797e+08 0 -1.18532e+08 0 0 0 0 0 -1.18532e+08 6.13003e+08 -1.8797e+08 
0 0 0 0 -1.18532e+08 0 -1.8797e+08 0 -1.18532e+08 0 -1.8797e+08 6.13003e+08 


0 7.29766e+07 0 0 0 0 0 0 0 3.7594e+07 -1.10571e+08 0 
3.7594e+07 -1.10571e+08 7.29766e+07 -1.10571e+08 0 0 0 0 0 0 1.10571e+08 0 
0 3.7594e+07 -1.10571e+08 7.29766e+07 0 0 0 0 0 0 0 0 
0 -1.10571e+08 3.7594e+07 -1.10571e+08 7.29766e+07 0 0 0 0 0 1.10571e+08 0 
0 0 0 3.7594e+07 -1.10571e+08 7.29766e+07 0 0 0 0 -1.10571e+08 1.10571e+08 
0 0 0 0 3.7594e+07 0 7.29766e+07 0 0 0 0 -1.10571e+08 
0 0 0 0 0 3.7594e+07 -1.10571e+08 7.29766e+07 -1.10571e+08 0 0 1.10571e+08 
0 0 0 0 0 0 3.7594e+07 -1.10571e+08 7.29766e+07 0 0 0 
0 0 0 0 0 0 -1.10571e+08 3.7594e+07 -1.10571e+08 7.29766e+07 0 1.10571e+08 
7.29766e+07 0 0 0 0 0 0 0 3.7594e+07 -1.10571e+08 1.10571e+08 -1.10571e+08 
-1.10571e+08 1.10571e+08 0 1.10571e+08 -1.10571e+08 0 0 0 0 1.10571e+08 -2.21141e+08 1.10571e+08 
0 0 0 0 1.10571e+08 -1.10571e+08 1.10571e+08 0 1.10571e+08 -1.10571e+08 1.10571e+08 -2.21141e+08 
