 0 89 3650 9 1
 89 178 3739 9 1
 178 267 3741 9 1
 267 356 3743 9 1
 356 445 3745 9 1
 445 534 3747 9 1
 534 623 3749 9 1
 623 712 3751 9 1
 712 801 3753 9 1
 801 890 3755 9 1
 890 979 3757 9 1
 979 1068 3759 9 1
 1068 1157 3761 9 1
 1157 1246 3763 9 1
 1246 1335 3765 9 1
 1335 1424 3767 9 1
 1424 1513 3769 9 1
 1513 1602 3771 9 1
 1602 1691 3773 9 1
 1691 1780 3775 9 1
 1780 1869 3777 9 1
 1869 1958 3779 9 1
 1958 2047 3781 9 1
 2047 2136 3783 9 1
 2136 2225 3785 9 1
 2225 2314 3787 9 1
 2314 2403 3789 9 1
 2403 2492 3791 9 1
 2492 2581 3793 9 1
 2581 2670 3795 9 1
 2670 2759 3797 9 1
 2759 2848 3799 9 1
 2848 2937 3801 9 1
 2937 3026 3803 9 1
 3026 3115 3805 9 1
 3115 3204 3807 9 1
 3204 3293 3809 9 1
 3293 3382 3811 9 1
 3382 3471 3813 9 1
 3471 3560 3816 9 1
 3560 3561 3815 1 1
 3561 3562 3817 1 1
 3562 3563 3818 1 1
 3563 3564 3819 1 1
 3564 3565 3820 1 1
 3565 3566 3821 1 1
 3566 3567 3822 1 1
 3567 3568 3823 1 1
 3568 3569 3824 1 1
 3569 3570 3825 1 1
 3570 3571 3826 1 1
 3571 3572 3827 1 1
 3572 3573 3828 1 1
 3573 3574 3829 1 1
 3574 3575 3830 1 1
 3575 3576 3831 1 1
 3576 3577 3832 1 1
 3577 3578 3833 1 1
 3578 3579 3834 1 1
 3579 3580 3835 1 1
 3580 3581 3836 1 1
 3581 3582 3837 1 1
 3582 3583 3838 1 1
 3583 3584 3839 1 1
 3584 3585 3840 1 1
 3585 3586 3841 1 1
 3586 3587 3842 1 1
 3587 3588 3843 1 1
 3588 3589 3844 1 1
 3589 3590 3845 1 1
 3590 3591 3846 1 1
 3591 3592 3847 1 1
 3592 3593 3848 1 1
 3593 3594 3849 1 1
 3594 3595 3850 1 1
 3595 3596 3851 1 1
 3596 3597 3852 1 1
 3597 3598 3853 1 1
 3598 3599 3854 1 1
 3599 3600 3855 1 1
 3600 3601 3856 1 1
 3601 3602 3857 1 1
 3602 3603 3858 1 1
 3603 3604 3859 1 1
 3604 3605 3860 1 1
 3605 3606 3861 1 1
 3606 3607 3862 1 1
 3607 3608 3863 1 1
 3608 3609 3864 1 1
 3609 3610 3865 1 1
 3610 3611 3866 1 1
 3611 3612 3867 1 1
 3612 3613 3868 1 1
 3613 3614 3869 1 1
 3614 3615 3870 1 1
